Name;Value
Foliage;Evergreen
P50_VC;-3.73
Slope_VC;69
EpsilonSymp;8
PiFullTurgor;-1.5
ApoplasmicFrac;0.4
PsiClose;-2.5
PsiStartClosing;-1.8
LDMC;500
LMA;246
kPlantInit;1.2
SapwoodVolume;0.03
WoodDensity;410
CanoStorageParam;0.5
K;0.5
Tbase;1
Fcrit;1000
PTcoeff;1.14
gmin20;2
TPhase_gmin;35
Q10_1_gmin;1.2
Q10_2_gmin;4.8
