Name;Value
Foliage;Evergreen
P50_VC_TL;-7.0
slope_VC_TL;30
P50_VC_Root;-7.0
slope_VC_Root;30
kPlantInit;1.2
k_TSymInit;0.26
gCrown0;45
PsiStartClosing;-2
PsiClose;-3.1
P12_gs;-2.0
P88_gs;-3.3
gmin20;3
TPhase_gmin;45
Q10_1_gmin;1.2
Q10_2_gmin;4.8
EpsilonSymp;15
PiFullTurgor;-2
ApoplasmicFrac;0.4
LDMC;500
LMA;200
gmin_T;3
SapwoodVolume;0.03
WoodDensity;570
CanopyStorageParam;1.5
K;0.5
Tbase;5
Fcrit;500
PTcoeff;1.14
gsMax;200
gsNight;20 
JarvisPAR;0.006
Tgs_sens;17
Tgs_optim;25
