Name;Value
RFC_1;0
RFC_2;0
RFC_3;0
depth1;0.2
depth2;0.4
depth3;0.6
field_capacity;0.2776
wilting_point;0.12379
alpha_vg;0.0005
n_vg;2
I_vg;0.5
Ksat_vg;5
saturation_capacity_vg;0.28
residual_capacity_vg;0.1
gSoil0;30
