Time PLC_Root PLC_TL Psi_LApo Psi_TApo Psi_LSym Psi_TSym Psi_AllSoil transpiration_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 SoilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH 
1990-01-0119:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0355 -0.0332 5e-04 6 57.8454 75.22 75.4151 75.298 75.298 55.5105 55.5163 55.5157 0 0 0.0147 0 -3.3842 0 0 0.3 96.9151 
1990-01-0120:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0355 -0.0332 5e-04 6 57.8469 75.2202 75.4151 75.2981 75.2981 55.5103 55.5162 55.5155 0 0 0.0146 0 -3.4257 0 0 0.3 96.9151 
1990-01-0121:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.035 -0.0354 -0.0332 5e-04 6 57.8485 75.2202 75.4151 75.2982 75.2982 55.5101 55.516 55.5153 0 0 0.0146 0 -3.4672 0 0 0.3 96.9151 
1990-01-0122:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.035 -0.0354 -0.0332 5e-04 6 57.85 75.2203 75.4151 75.2982 75.2982 55.5099 55.5159 55.5152 0 0 0.0145 0 -3.5088 0 0 0.3 96.9151 
1990-01-0123:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.035 -0.0354 -0.0332 5e-04 6 57.8515 75.2203 75.4151 75.2982 75.2982 55.5097 55.5158 55.515 0 0 0.0145 0 -3.5503 0 0 0.3 96.9151 
1990-01-0200:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0332 5e-04 6 57.853 75.2202 75.4151 75.2981 75.2981 55.5095 55.5156 55.5148 0 0 0.0144 0 -3.5916 0 0 0.4 96.9151 
1990-01-0201:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.8545 75.2201 75.4151 75.2981 75.2981 55.5093 55.5155 55.5147 0 0 0.0144 0 -3.633 0 0 0.4 96.9151 
1990-01-0202:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.856 75.2201 75.4151 75.2981 75.2981 55.5091 55.5153 55.5145 0 0 0.0144 0 -3.6745 0 0 0.4 96.9151 
1990-01-0203:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.8575 75.2201 75.4151 75.2981 75.2981 55.5089 55.5152 55.5143 0 0 0.0143 0 -3.7159 0 0 0.4 96.9151 
1990-01-0204:00:00 0.0311 0.0312 -0.0344 -0.0341 -0.0351 -0.0354 -0.0333 5e-04 6 57.859 75.2202 75.4151 75.2981 75.2981 55.5087 55.515 55.5142 0 0 0.0143 0 -3.7574 0 0 0.4 96.9151 
